DUID,Owner,Number of Units,Nameplate Capacity (MW)
,Hydro-Electric Corporation,4.0,750
CHALLHWF,Pacific Hydro Challicum Hills Pty Ltd,35.0,52.5
,juwi Renewable Energy Pty Ltd,30.0,98.01
CHPSTWF1,Chepstowe Wind Farm Pty Ltd,3.0,6.15
CHYTWF1,Cherry Tree Wind Farm Pty Limited A.T.F. Cherry Tree Project Trust,16.0,57.6
CHILDSF1,Childers Solar Pty Ltd as trustee for the Childers Solar Trust,37.0,64.38
CHBESS1,CSE BESS Pty Ltd,1.0,100
,First Solar Australia Pty Ltd,69.0,113.16
,Benedict Indistries P/L,1.0,8
CBWWPV1,South Australian Water Corporation,1.0,3
CBWWBA1,South Australian Water Corporation,1.0,2.16
,Sun Spot 9 Pty Ltd,84.0,288.12
CLARESF1,Clare Asset Co Pty Ltd ATF Clare Asset Trust,69.0,110.4
,Isaac Wind and Solar Energy Pty Ltd,1.0,Zero Capacity Or None Specified
CLRKCWF2,Squadron Energy Services Pty Ltd,23.0,103.5
CLRKCWF1,Squadron Energy Services Pty Ltd,77.0,346.5
,Squadron Energy Services Pty Ltd,87.0,696
CLAYTON,EDL LFG Vic Pty Ltd,12.0,12
,Pacific Hydro Clements Gap Pty Ltd,1.0,60
CLEMGPWF,Pacific Hydro Clements Gap Pty Ltd,27.0,56.7
CLERMSF1,Clermont Asset Co Pty Ltd as Trustee for Clerrmont Solar Unit Trust,37.0,92.5
CLOVER,AGL Hydro Partnership,2.0,29
CLUNY,Hydro-Electric Corporation,1.0,19
,Pacific Partnerships,217.0,520.8
,pacificp_NR,186.0,818.4
,Cobden BESS Pty Ltd,1.0,60
CODRNGTON,Energy Pacific (Vic) Pty Ltd,14.0,18.2
COHUNSF1,Cohuna Solar Farm Pty Ltd as trustee for the Cohuna Solar Farm Trust,19.0,31.16
,Coleambally BESS Trust ,1.0,100
COLEASF1,Coleambally Solar Pty Ltd,90.0,150.3
COLWF01,Ratch Australia,54.0,226.8
, Shine Energy,1.0,990
,COLLINSVILLE GREEN ENERGY HUB PTY LTD ,364.0,2839.2
,TBSOL,1.0,100
CSPVPS1,Ratch Australia,17.0,42.5
CG1,Snowy Hydro Ltd,1.0,181
CG2,Snowy Hydro Ltd,1.0,181
CG3,Snowy Hydro Ltd,1.0,181
CG4,Snowy Hydro Ltd,1.0,181
,Columboola BESS Nominees Pty Ltd,1.0,700
,StorEnergy P/L,1.0,400
COLUMSF1,Luminous Energy,79.0,217.25
,Comet Energy Pty Ltd,1.0,120
,Samsung C&T Renewable Energy Australia Pty Ltd.,45.0,189
CPSA,QGC Sales QLD Pty Ltd,1.0,57
CPSA,QGC Sales QLD Pty Ltd,2.0,87.4
CONDONG1,Cape Byron Management PTY LTD,1.0,30
,Akaysha Energy Pty Ltd,116.0,549.84
,Waldren Construction Pty Ltd.,15.0,30
, Venn Energy Pty Ltd / Cooba Solar Project Pty Ltd,76.0,319.2
,ACEN RENEWABLES,1.0,80
,ACEN RENEWABLES,1.0,80
,ACEN RENEWABLES,1.0,100
, Lightsource Development Services Australia Pty Ltd,1.0,100
CBWF1,Coonooer Bridge Wind Farm Pty Ltd,6.0,19.8
COOPGWF1,PARF Company 6 Pty Limited,32.0,122.56
COOPGWF1,PARF Company 6 Pty Limited,91.0,330.33
,Enervest Pty Ltd,1.0,100
COPTNHYD,AGL,1.0,20
COPBEL,Coppabella Wind Farm Pty Ltd,69.0,289.8
,Leeson Solar Pty Ltd.,1.0,400
,Leeson Solar Pty Ltd.,1.0,400
CRWASF1,Corowa Operationsco Pty Ltd as trustee for Corowa Operations Trust,22.0,36.01
, Macquarie Corporate Holdings Pty Ltd,1.0,150
CROOKWF2,Crookwell Development Pty Ltd,28.0,96.04
CROOKWF3,Crookwell 3 Development Pty Ltd,16.0,57.6
, Crossroads Energy Pty Ltd,1.0,650
