DUID,Owner,Number of Units,Nameplate Capacity (MW)
PIBESS1,Mondo Power,1.0,5
,ACEN Phoenix Pty Ltd,3.0,810
,Piambong Wind Farm Pty Ltd,93.0,632.4
,Squadron Energy Developments Pty Ltd,250.0,1500
PINDARI,AGL Hydro Partnership,1.0,5.77
,ACEnergy Pty Ltd,126.0,453.6
,ACEnergy,88.0,250.01
,Enervest Pty Ltd,1.0,400
,FRV Services Australia Pty Ltd,106.0,424
,Edify Energy Pty Ltd,1.0,200
,Pioneer Sugar Mills P/L,1.0,30.9
,Pioneer Sugar Mills P/L,1.0,36.9
,CFG,1.0,100
,TotalEnergies Renewables Australia Pty Ltd,28.0,80
,PLEYSTOWE BESS PTY LTD,1.0,200
,Pleystowe BESS P/L,1.0,200
POAT110,Hydro-Electric Corporation,2.0,100
POAT220,Hydro-Electric Corporation,4.0,200
PAREPS1,PAREP 1 Pty Ltd,36.0,79.2
PAREPW1,PAREP 1 Pty Ltd,50.0,210
,Edify Energy Pty Ltd,1.0,300
, Australian Industrial Power,1.0,660
,Oz Green Energy I Pty Ltd,5.0,21
POR03,Synergen Power Pty Ltd,1.0,23.5
POR01,Synergen Power Pty Ltd,2.0,50
,Green Gold Energy,1.0,70
, Trafigura Hydrogen Australia,1.0,300
PTSTAN1,Snowy Hydro Ltd,36.0,56.52
,HAMR Energy Pty Ltd,1.0,Zero Capacity Or None Specified
PORTWF,Pacific Hydro Portland Wind Farm Pty Ltd,74.0,151.7
, Vic Offshore Windfarm Pty Ltd,1.0,495
,Pottinger Renewables P/L,255.0,499.8
,Pottinger Renewables P/L,128.0,299.52
,Pottinger Renewables P/L,250.0,1300
,Pacific Hydro Australia Developments Pty Ltd,1.0,250
,Prairie Wind Farm Pty Ltd,100.0,700.00 - 800.00
,Prairie Wind Farm Pty Ltd,150.0,1050.00 - 1200.00
,Monash Renewables Pty Ltd,1.0,375
,Monash Renewables Pty Ltd,1.0,125
,CI Proserpine Pty Ltd as trustee for the CI Proserpine Trust,1.0,1360
,Skylab,1.0,400
,Skylab,1.0,400
,skylabgroup_NR,312.0,798.72
,Tetris Energy,1.0,50
,Tetris Energy,1.0,350
,QCLNG Operating Company Pty Ltd ,3.0,90
,Emergent Technologies,1.0,350
QPS1,Origin Energy Power Limited,1.0,29
QPS2,Origin Energy Power Limited,1.0,24
QPS3,Origin Energy Power Limited,1.0,29
QPS4,Origin Energy Power Limited,1.0,24
QPS5,Origin Energy Power Limited,1.0,128
,Origin Energy Power Limited,1.0,165
QBYNB1,Berrybank 2 Asset Pty Ltd as Trustee for Berrybank 2 Asset Trust,1.0,10
,EEW Eco Energy World Pty Ltd,1.0,750
QPBESS,Quorn Park Solar Farm Pty Ltd as the trustee for Quorn Park Solar Farm Trust,8.0,23.44 - 27.60
QPSF,Quorn Park Solar Farm Pty Ltd as the trustee for Quorn Park Solar Farm Trust,22.0,87.12 - 96.80
RACOMIL1,Mackay Sugar Ltd,1.0,0
RACOMIL1,Mackay Sugar Ltd,1.0,7
RACOMIL1,Mackay Sugar Ltd,1.0,38
,acepower_NR,1.0,500
,EEW Eco Energy World Ltd,1.0,300
RANGEB1,Cranbourne BESS Project Co Pty Ltd,1.0,200
,Tetris Energy,1.0,20
,Tetris Energy,1.0,185
,Rangoon Energy Park Pty Ltd,19.0,114
,FRV Services Australia,1.0,20
,FRV Services Australia,1.0,63
REDBANK1,Verdant Earth Technologies Limited,1.0,128.00 - 151.00
REECE1,Hydro-Electric Corporation,1.0,115.6
REECE2,Hydro-Electric Corporation,1.0,115.6
,Alinta Energy Reeves Plains Pty Ltd,1.0,150
,Alinta Energy Reeves Plains Pty Ltd,1.0,150
,Alinta Energy,1.0,250
REPULSE,Hydro-Electric Corporation,1.0,28
,ARK ENERGY CORPORATION PTY LTD ,1.0,275
,EIWA Queensland Pty Ltd,105.0,300.3
,ARK ENERGY CORPORATION PTY LTD ,1.0,252
, Ridgey Creek BESS Pty Ltd,1.0,130
,NewEn,1.0,40
RESS1,Shell New Energies Australia Pty Ltd,1.0,60
RIVNB2,RESS 2 Pty Ltd,1.0,65
,Riverina Solar Pty Ltd,360.0,32.4
,Lyon Solar,1.0,330
,Lyon Solar,1.0,100
,Enervest Pty Ltd,1.0,250
,Pacific Partnerships Pty Ltd,217.0,520.8
,ACEN Robbins Island PTY LTD,1.0,929
,Robertstown Project (Solar) Operations Pty Ltd,2.0,250
,Robertstown Project (Solar) Operations Pty Ltd,127.0,500
RPCG,W.H.Heck and Sons Pty Ltd,1.0,30
,X-Elio Australia Pty Ltd,1.0,110
,X-Elio Australia Pty Ltd,1.0,220
ROMA_7,Origin Energy Power Limited,1.0,40
ROMA_8,Origin Energy Power Limited,1.0,40
,Samsung C&T Renewable Energy Australia Pty Ltd,216.0,216
,Samsung C&T Renewable Energy Australia Pty Ltd,72.0,302.4
,Samsung C&T Renewable Energy Australia Pty Ltd,240.0,240
RRSF1,Ross River Operations Pty Ltd as the Trustee for the Ross River Operations Trust,64.0,128
ROWALLAN,Hydro-Electric Corporation,1.0,10.5
,Hydro-Electric Corporation,4.0,750
ROYALLA1,Royalla Asset Pty Ltd ATF Royalla Asset Trust,20.0,20
RUBICON,AGL Hydro Partnership,5.0,13.5
,Walcha Energy Pty Ltd,1.0,48
,Origin energy,40.0,240.00 - 248.00
,Origin Energy Pty Ltd,1.0,48
,Origin Energy Pty Ltd,80.0,480.00 - 496.00
RUGBYR1,Adani Rugby Run Pty Ltd,1.0,65
,Red Hill Renewable Energy Pty Ltd,1.0,400
,Red Hill Renewable Energy Pty Ltd,1.0,400
RYANCWF1,Ryan Corner Development Pty Ltd,52.0,218.4
RYEPARK1,Tilt Renewables Australia Pty Ltd,66.0,396
,Origin Energy Pty Ltd,1.0,200
,Origin Energy Pty Ltd,34.0,170
,Origin Energy Pty Ltd,56.0,280
SALTCRK1,Salt Creek Wind Farm Pty Ltd,15.0,54
,ESCO Pacific,300.0,300
,Sandy Creek Solar Fund Pty Ltd,1.0,700
,Samsung C&T Renewable Energy Australia Pty Ltd.,43.0,180.6
,Samsung C&T Renewable Energy Australia Pty Ltd.,48.0,201.6
SAPHWF1,SWF1 Operations Holdings Pty Ltd as trustee for SWF1 Hold Trust,75.0,270
,BayWa r.e. Australia Offshore Wind Projects 3 Pty Ltd,200.0,3000
SEBSF1,Sebastopol Asset Co Pty Ltd ATF Sebastopol Asset Trust,40.0,90
,SEC,1.0,100
,Seymour Wind Pty Ltd,115.0,460.00 - 920.00
SHEP1,Diamond Energy Pty Ltd,1.0,1.1
SHGEN,Origin Energy Eraring Pty Ltd,2.0,82
SHGEN,Origin Energy Eraring Pty Ltd,2.0,165
,Origin Energy,1.0,235
,A-CAES NSW PTY LTD,2.0,200
,International Power (Australia) Pty Ltd,1.0,120
STWF1,PARF Company 8 Pty Ltd as trustee for the Silverton Project Trust,58.0,198.94
,Smithfield BESS Pty Limited,36.0,86.4
SITHE01,Smithfield Power Generation Pty Ltd,3.0,125.7
,Edify Energy Pty Ltd,1.0,400
,Edify Energy Pty Ltd,1.0,700
SNAPPER1,Port Adelaide Energy Pty Ltd,1.0,30.8
SNAPPER1,Port Adelaide Energy Pty Ltd,4.0,123.2
,Tilt Renewables,11.0,44
,Tilt Renewables,1.0,100
SNOWNTH1,Snowtown Wind Farm Stage 2 Pty Ltd,42.0,126
SNOWNTH1,Snowtown Wind Farm Stage 2 Pty Ltd,48.0,144
SNOWTWN1,Snowtown Wind Farm Pty Ltd,47.0,98.7
,Snowy Hydro Ltd,2.0,732
,Snowy Hydro Ltd,4.0,1468
SNUGNL1,Synergen Power Pty Ltd,1.0,21
SNUG1,Synergen Power Pty Ltd,3.0,63
,Zen Energy Retail Pty Ltd,1.0,123
,Zen Energy Retail Pty Ltd,92.0,255.76
AGLSOM,AGL Hydro partnership,4.0,170
,X-Elio Australia Pty Ltd,1.0,300
,Samsung C&T Renewable Energy Australia Pty Ltd,84.0,84
,Equis Energy (Australia) Projects (Ngumi 8) Pty Ltd as trustee for the Equis Energy(Australia) Ngumi 8 Asset Trust,1.0,200
,MSF Sugar,1.0,32
,Macleay Ventures Pty Ltd.,80.0,200
SKSF1,Dubbo Solar Hub Pty Ltd,6.0,13.9
,RTB Renewables Pty Ltd,1.0,630
,South Pacific OWP Project Pty Ltd,105.0,1575.00 - 1601.25
,Southern Winds OWP Project Pty Ltd,77.0,1155
,ARK Energy Corporation Pty Ltd,1.0,100
,ARK Energy Corporation Pty Ltd,56.0,336
,Squadron Energy Services Pty Ltd,117.0,702
,Alinta Energy Retail Sales Pty Ltd,1.0,1200
,Renew Estate,1.0,120
,RES Australia Pty Ltd,1.0,100
, Ratch Australia,121.0,798.6
,progresspower_nr,1.0,115
, Miraabou Energy Ltd,1.0,500
,ARK Energy Corporation Pty Ltd,47.0,291.4
SHBESS01,Globird Energy Pty Ltd,1.0,20
,globirdenergy_NR,1.0,5
,Stanmore Resources and Enernet Australia (JV),6.0,20.16
STAN-1,Stanwell Corporation Limited,1.0,365
STAN-2,Stanwell Corporation Limited,1.0,365
STAN-3,Stanwell Corporation Limited,1.0,365
STAN-4,Stanwell Corporation Limited,1.0,365
,Stanwell Corporation Limited,1.0,300
STAPYLTON1,LMS Energy Pty Ltd,1.0,0.47
STAPYLTON1,LMS Energy Pty Ltd,1.0,0.76
STAPYLTON1,LMS Energy Pty Ltd,2.0,2.12
SOTS1,Star of the South Wind Farm Pty Ltd as trustee for the Star of the South Trust,147.0,2205
STARHLWF,Ratch Australia,22.0,33
STOCKYD1,Stockyard Hill Wind Farm Pty Ltd,2.0,6
STOCKYD1,Stockyard Hill Wind Farm Pty Ltd,19.0,64.6
STOCKYD1,Stockyard Hill Wind Farm Pty Ltd,128.0,456.96
, APA Power Holdings Pty Ltd,1.0,220
,Enervest Pty Ltd,65.0,260
,Greenleaf Renewable,1.0,400
,Yancoal,1.0,200
,Stubbo 1 Pty Ltd. ACN 658 322 457 as The Trustee for Stubbo 1 Solar Project Trust,1.0,200
STUBSF2,ACEN AUSTRALIA,1.0,198
STUBSF1,ACEN AUSTRALIA,1.0,202
,Sturt Solar PTY LTD,1.0,300
,Sturt Solar PTY LTD,1.0,300
,CI Summerfield BESS Pty Ltd (ACN 656 223 773) as trustee for the CI Summerfield BESS Trust,1.0,120
,CI Summerfield BESS Pty Ltd (ACN 656 223 773) as trustee for the CI Summerfield BESS Trust,1.0,120
,ESCO Solar Farm 5 Pty Ltd,1.0,4.20 - 90.00
SMCSF1,Sun Metals Corporation Pty Ltd,52.0,143
, Canadian Solar,1.0,360
,CWP Renewables Pty Ltd,600.0,600
SUNRSF1,Sunraysia Solar Project Pty Ltd,104.0,228.8
,Sunshine Energy,1.0,1500
,ESCO Pacific,1.0,110
,Rollingstone Solar Farm Pty Ltd,1.0,500
SUNTPSF1,Suntop SF Pty Ltd As Trustee For The Suntop Asset,1.0,150
SNB01,Supernode Operations Pty Ltd as the trustee for Supernode BESS 1 Project Trust,1.0,260
SNB02,Supernode Operations Pty Ltd as the trustee for Supernode BESS 1 Project Trust,1.0,260
SNB03,Supernode Operations Pty Ltd as the trustee for Supernode BESS 1 Project Trust,1.0,260
SNB04,Supernode Operations Pty Ltd as the trustee for Supernode BESS 1 Project Trust,1.0,260
SRSF1,Susan River Solar Pty Ltd as trustee for the Susan River Solar Trust,49.0,85.26
,CleanCo QLD Limited,138.0,250.06
SWAN_E,CleanCo Queensland Limited,1.0,385
TABMILL2,MSF Sugar,1.0,24
,Elgin Energy Pty Ltd,30.0,120
,Elgin Energy Pty Ltd,30.0,126
TAHMOOR1,EDL TT Pty Ltd,7.0,7.46
TBSF1,Vena Energy,1.0,108
TB2B1,Vena Energy,1.0,41.5
TB2SF1,Vena Energy,1.0,105
,TBSOL,1.0,204
,Talbingo Battery Pty Ltd ATF Talbingo Battery Trust,1.0,400
,Enel Green Power Australia Pty Ltd,160.0,672
TALWA1,EnergyAustralia Tallawarra Pty Ltd,1.0,400
TALWB1,EnergyAustralia Tallawarra Pty Ltd ,1.0,320
TVCC201,AETV Pty Ltd,1.0,140
TVCC201,AETV Pty Ltd,1.0,68
TVPP104,AETV Pty Ltd,1.0,58
,VALENT ENERGY DEVELOPMENTS PTY LTD,1.0,200
,The Trustee for Equis Energy (Ausralia) Ngumi 4 Asset Trust,135.0,299.7
, Atria Energy Ltd,1.0,100
,Tara Wind Farm Pty Ltd,1.0,1800
TARALGA1,Energy Pacific Vic Pty Ltd,9.0,27
TARALGA1,Energy Pacific Vic Pty Ltd,21.0,37.8
TARALGA1,Energy Pacific Vic Pty Ltd,21.0,42
TARONG#1,Stanwell Corporation Limited,1.0,350
TARONG#2,Stanwell Corporation Limited,1.0,350
TARONG#3,Stanwell Corporation Limited,1.0,350
TARONG#4,Stanwell Corporation Limited,1.0,350
TARBESS1,Stanwell Corporation Limited,1.0,300
TNPS1,Stanwell Corporation Limited,1.0,450
, RES Australia Pty Ltd,97.0,436.5
TARRALEA,Hydro-Electric Corporation,6.0,90
,HYDROTAS,2.0,200
,Global Power Generation Australia Pty Ltd,1.0,200
,AGL Energy Limited,1.0,500.00 - 600.00
TATIARA1,Vibe Energy Pty Ltd,1.0,0.5
TATURA01,Diamond Energy Pty Ltd,1.0,1.1
,Neoen Australia Pty Ltd,88.0,350.24
,Neoen Australia Pty Ltd,74.0,599.99
,ATMOS DEVELOPMENTS PTY LTD,1.0,400
,BORAL,1.0,200
,ZEN Energy Future Pty Ltd,1.0,111
,Enerparc Australia Pty Ltd,7.0,29.4
TRGBESS,frv_NR,38.0,99.94 - 144.40
, Neoen Australia Pty Ltd,1.0,0.50 - 200.00
,Samsung C&T Renewable Energy Australia Pty Ltd,1.0,300
,ACEnergy Pty Ltd,180.0,648
THEDROP1,Pacific Hydro Investments Pty Ltd,1.0,2.5
,Engie,1.0,400
,The Solar River Project Pty Ltd,1.0,200
,The Solar River Project Pty Ltd,1.0,200
,Theodore SF Pty Ltd as trustee for Theodore SF Trust  ,28.0,70
,RWE Renewables Australia,160.0,992
,Ausnet Transmission Group Pty Ltd,1.0,300
,Iberdrola Australia Development Pty Ltd.,1.0,1200
,Iberdrola Australia Development Pty Ltd.,1.0,1200
, Neoen Australia Pty Ltd,1.0,5.00 - 210.00
TITREE,Ti Tree Bioenergy,1.0,1.2
TITREE,Ti Tree Bioenergy,3.0,3.3
,European Energy Australia P/L,1.0,550
,European Energy Australia P/L,1.0,550
TieriBESS1,FRV Service Australia Pty Ltd,24.0,103.2
,Enerparc Australia Pty Ltd,152.0,248.82
TIMWEST,Timboon West Wind Farm Pty Ltd,2.0,7.2
,StorEnergy 2 Pty Ltd,1.0,400
,AGL,1.0,500
,Tetris Energy,1.0,25
,Tetris Energy,1.0,15
,Tetris Energy,1.0,15
TOORAWF,Ratch Australia,12.0,21
TORRB1,AGL SA Generation Pty Limited ,1.0,200
TORRB2,AGL SA Generation Pty Limited ,1.0,200
TORRB3,AGL SA Generation Pty Limited ,1.0,200
TORRB4,AGL SA Generation Pty Limited ,1.0,200
TIB1,TIPSCO,109.0,250.7
TOWER,EDL CSM NSW Pty Ltd,40.0,41.2
YABULU,RATCH-Australia,1.0,160
YABULU2,RATCH-Australia,1.0,84
,Eku Energy Projects (Australia) Pty Ltd as trustee for the Eku Energy Projects Australia Trust,1.0,300
TGNSS1,NovaPower Pty Ltd,1.0,10
TREVALLN,Hydro-Electric Corporation,2.0,40
TREVALLN,Hydro-Electric Corporation,2.0,53
,Triabunna Wind Pty Ltd,4.0,16.00 - 32.00
TRIBUTE,Hydro-Electric Corporation,1.0,82.8
,Hydro-Electric Corporation,4.0,750
,Tuckeroo BESS Pty Ltd,1.0,500
,RWE Renewables Australia Pty Ltd,1.0,200
TULLYSM1,Tully Sugar Limited,1.0,32
,Elements Green Australia Pty Ltd,1.0,500
,Elements Green Australia Pty Ltd,1.0,500
,Austraiian Solar,1.0,295
,Austraiian Solar,1.0,464
TUMUT3,Snowy Hydro Ltd,6.0,1500
TUNGATIN,Hydro-Electric Corporation,5.0,125
,European Energy Australia P/L,1.0,400
,European Energy Australia P/L,1.0,400
ULBESS,Ulinda Park ProjectCo Pty Ltd,52.0,154.96
,OceanEx Energy,1.0,2000
,European Energy S/A,1.0,291
,Maizewood Pty Ltd.,200.0,400
,Upper Hunter Energy Park Pty Ltd,5.0,10
,Upper Hunter Energy Park Pty Ltd,18.0,75.6
UPPTUMUT,Snowy Hydro Ltd,4.0,288
UPPTUMUT,Snowy Hydro Ltd,4.0,328
URANQ11,Origin Energy Uranquinty Power Pty Ltd,1.0,173
URANQ12,Origin Energy Uranquinty Power Pty Ltd,1.0,173
URANQ13,Origin Energy Uranquinty Power Pty Ltd,1.0,173
URANQ14,Origin Energy Uranquinty Power Pty Ltd,1.0,173
,Squadron Energy Services Pty Ltd,1.0,400
,Uungula Wind Farm Pty Ltd,69.0,414
VALDORA1,Diamond Energy Pty Ltd,1.0,15
VP5,Delta Electricity,1.0,660
VP6,Delta Electricity,1.0,660
,Delta Electricity,1.0,55
,ACEN Renewables,1.0,148
,ACEN Renewables,1.0,319
,ACEN Renewables,1.0,452
VPGS1,Snowy Hydro Ltd,1.0,50
VPGS2,Snowy Hydro Ltd,1.0,50
VPGS3,Snowy Hydro Ltd,1.0,50
VPGS4,Snowy Hydro Ltd,1.0,50
VPGS5,Snowy Hydro Ltd,1.0,50
VPGS6,Snowy Hydro Ltd,1.0,50
, Vast Solar 1 Pty Ltd,1.0,34
,Wilmar Sugar (Herbet) Pty Ltd,1.0,5
,Wilmar Sugar (Herbet) Pty Ltd,1.0,19
VBB1,Victorian Big Battery Pty Ltd,1.0,300
,Global Power Generation Australia Pty Ltd,1.0,200
,ZEN Energy Future Pty Ltd,1.0,105
,Ib vogt Development Australia Pty Ltd,42.0,120.12
WAGGNSF1,Wagga Wagga Operationsco Pty Ltd as trustree for Wagga Wagga Operations Trust,12.0,19.64
WAGGNSF1,Wagga Wagga Operationsco Pty Ltd as trustree for Wagga Wagga Operations Trust,22.0,36.01
, Wagga Wagga Operationsco Pty Ltd as trustee for the Wagga Wagga Operations Trust,1.0,15
,Tetris Energy,1.0,415
WLWLSF1,FRV Australia (Walla Walla Asset Co Pty Ltd (ACN 634 728 868) as trustee for the Walla Walla Asset Trust),48.0,151.97
WLWLSF2,FRV Australia (Walla Walla Asset Co Pty Ltd (ACN 634 728 868) as trustee for the Walla Walla Asset Trust),48.0,151.97
,North Harbour Clean Energy P/L,200.0,400
,New Energy development and Univergy Solar Joint venture (SPV) Wallaroo Solar Farm Pty Ltd,36.0,122.4
,Greenspot Wallerawang Pty Ltd as trustee for the Greenspot Wallerawang Unit Trust,1.0,1.00 - 300.00
WALGRV1,TransGrid,1.0,50
, Cubico Sustainable Investments Australia Pty Ltd,1.0,252
, Cubico Sustainable Investments Australia Pty Ltd,1.0,248
,RTB Renewables Pty Ltd,1.0,630
WANDB1,Vena Evergy,1.0,100
WANDSF1,Vena Evergy,1.0,160
,TBSOL,1.0,240
WTAHB1,Munmorah Battery ProjectCo Pty Ltd,288.0,850.18
,WestWind Energy Pty Ltd,200.0,1240.00 - 1500.00
,AE Solar 6 Pty Ltd as Trustee for AE Solar 6 Unit Trust,1.0,240
WARWSF1,The University of Queensland,8.0,32.1
WARWSF2,The University of Queensland,8.0,32.1
WATERLWF,Waterloo Windfarm Pty Ltd,6.0,19.8
WATERLWF,Waterloo Windfarm Pty Ltd,37.0,111
,RES Australia Pty Ltd,1.0,376
,Wattle Creek Energy Hub P/L,1.0,350
,Wattle Creek Energy Hub P/L,1.0,265
,Wattle Creek Energy Hub P/L,1.0,100
WPWF,Infrastructure Capital Group,55.0,90.75
WAUBRAWF,Pyrenees Wind Energy Developments,15.0,22.5
WAUBRAWF,Pyrenees Wind Energy Developments,51.0,76.5
WAUBRAWF,Pyrenees Wind Energy Developments,62.0,93
,Acciona Energy Australia Global,1.0,200
,Weasel Solar Farm P/L,40.0,144
,Weasel Solar Farm P/L,34.0,144.16
,Tetris Energy,1.0,350
,Hydrostor Australia Holdings P/L,4.0,500
,AMPYR Australia Pty Ltd,1.0,200
, Lightsource Development Services Australia Pty Ltd,1.0,500
,AGL Hydro Partnership,300.0,198.00 - 300.00
WELNSF1,Wellington North Solar Farm Pty Ltd,104.0,436.8
WELLSF1,Lightsource Australia SPV 4 Pty Ltd,132.0,216.08
WEMENSF1,Wemen Asset Co Pty Ltd as Trustee to Wemen Solar Unit Trust,39.0,97.5
WESTILL1,Western Suburbs Leagues Club,2.0,1.43
WKIEWA1,AGL Hydro Partnership,2.0,34
WKIEWA2,AGL Hydro Partnership,2.0,34
,West Mokoan Solar Farm,60.0,159.96
,West Mokoan Solar Farm,112.0,400.4
,Mint Renewables,65.0,468
,Lightsource BP,1.0,50
WSTWYSF1,West Wyalong Fund Pty Ltd,29.0,105.27
WDBESS1,Western Downs BESS Pty Ltd as trustee for Western Downs BESS Trust,140.0,254.94
, PowerGen P51 Pty Ltd,1.0,207
WDGPH1,Western Downs Green Power Hub Pty Ltd,167.0,399.97
,ARK Energy Corporation Pty Ltd,12.0,36.92 - 50.40
, Western Sydney Energy & Resource Recovery Centre ,1.0,58
,Zen Energy Retail Pty Ltd,1.0,1000
,West Coast Renewables Energy Pty Ltd,40.0,288
WRSF1,White Rock Wind Farm Pty Ltd,8.0,20
WRWF1,CECEP Wind Power Australia Pty Ltd,70.0,175
,White Rock Wind Farm Pty Ltd,47.0,211.50 - 352.50
WHITSF1,Whitsunday Solar Farm Pty Ltd,23.0,57.5
WHIT1,LMS Energy Pty Ltd,1.0,0.5
,Adani,1.0,140
, BESS Kalkallo Pty Ltd,1.0,100
WILGAPK,Santos,2.0,6
WILGAPK,Santos,4.0,4
WILGB01,Santos,2.0,6
,Wind Prospect WA Pty Ltd,59.0,354
,X-Elio Willavale Park Trust,1.0,300
,X-Elio Australia Pty Ltd,1.0,50
WILLHOV1,Pacific Hydro Investments Pty Ltd,1.0,1.8
,EKU Energy,1.0,250
WGWF1,Willogoleche Power Pty Ltd,7.0,24.01
WGWF1,Willogoleche Power Pty Ltd,25.0,95.75
,Elgin Energy Pty Ltd,1.0,200
,BayWA r.e Projects Australia Pty Ltd,1.0,100
, Wimmera Plains Energy Facility Pty Ltd,52.0,312
, APA Power Holdings Pty Ltd,1.0,220
WHILL1,Ratch Australia,20.0,12
WINGF1_1,EDL LFG SA Pty Ltd,4.0,4.1
WINGF2_1,EDL LFG SA Pty Ltd,4.0,4.1
,WinterbourneWind Pty Ltd,118.0,731.6
,AE BESS 10 as Trustee for AE BESS 10 Unit Trust,1.0,120
,Lochard Energy,1.0,200
,Lochard Energy,1.0,200
WINTSF1,Winton Asset Co. Pty Ltd as Trustee of the Winton Asset Trust,1.0,85
W/HOE#1,CleanCo Queensland Limited,1.0,285
W/HOE#2,CleanCo Queensland Limited,1.0,285
,IBERDROLA AUSTRALIA DEVELOPMENT PTY LIMITED,1.0,250
,Wodonga Solar Power ,19.0,76
,Wollar Solar Finance Pty Ltd.,150.0,300
WOLARSF1,Wollar Solar Development Pty Ltd,1.0,280
WOLLERT1,LMS Energy Pty Ltd,7.0,7.86
, APA Power Holdings Pty Ltd,1.0,600
,Wind Projects Australia Project 1 Pty Ltd,3.0,12.00 - 24.00
,Eku Energy Projects (Australia) as trustee for the Eku Energy Projects (Australia) Trust,1.0,300
WONWP,Vision Super Pty Ltd,6.0,12
,Wooderson Solar Development Company Pty Ltd,82.0,450.18
, Risen Energy (Australia) Pty Ltd ,1.0,250
WDLNGN01,Veolia Environmental Services Aust P/L,7.0,7.46
WOODLWN1,Woodlawn Wind Pty Ltd,23.0,48.3
,AGL Energy Limited,1.0,500
,Private Energy Partners,1.0,528
,Private Energy Partners,1.0,528
WOOLNTH1,Woolnorth Wind Farm Finance Pty Ltd,6.0,10.5
WOOLNTH1,Woolnorth Wind Farm Finance Pty Ltd,25.0,75
WOOLNTH1,Woolnorth Wind Farm Finance Pty Ltd,30.0,52.5
,Woolooga BESS Fund Pty Limited as trustee for the Woolooga BESS Trust,1.0,277
,Elements Green Australia Pty Ltd,1.0,400
WOOLGSF1,Woolooga Fund Pty Ltd,89.0,222.5
,Woolsthorpe Wind Farm Pty Ltd,12.0,72
,Lightsource BP,1.0,750
,EnergyAustralia Holdings Limited,1.0,350
,ARK Energy Corporation Pty Ltd,52.0,322.4
WUNUSF1,Sun Spot 3 Pty Ltd,34.0,93.5
,Wurdong ProjectCo Pty Ltd,92.0,404.8
WYASF1,Wyalong Solar Farm Pty Ltd as the trustee for the Wyalong Solar Farm Unit Trust,38.0,62.32
WYANGALA,Hydro Power Pty Ltd,1.0,20
WYANGALB,AGL,1.0,4
,The Trustee for X-ELIO SIXTEEN MILE TRUST,1.0,350
,Yabulu BESS Pty Ltd,1.0,2.4
,Yabulu Solar Farm Pty Ltd,1.0,4.2
,Yabulu South BESS Pty Ltd,1.0,200
,Photon Energy Group,32.0,192
YWPS1,EnergyAustralia Yallourn Pty Ltd,1.0,350
YWPS2,EnergyAustralia Yallourn Pty Ltd,1.0,350
YWPS3,EnergyAustralia Yallourn Pty Ltd,1.0,375
YWPS4,EnergyAustralia Yallourn Pty Ltd,1.0,375
YSWF1,Pacific Hydro Yaloak South Pty Ltd,14.0,28.7
,Tetris Energy,1.0,100
,Tetris Energy,1.0,200
YAMBUKWF,Energy Pacific Vic Pty Ltd,20.0,30
,Acenergy Pty Ltd,88.0,249.92
,Yanco Delta Wind Farm Pty Ltd,208.0,1497.6
,Origin Energy,1.0,60
,Origin Energy,161.0,584.43
YARANSF1,Yarranlea Solar Pty Ltd,44.0,121
YWNGAHYD,AGL Hydro Partnership,2.0,9.5
YARWUN_1,RTA Yarwun Pty Ltd,1.0,180
YATSF1,Yatpool Sun Farm Pty Ltd,16.0,44
YATSF1,Yatpool Sun Farm Pty Ltd,20.0,50
YAWWF1,Yawong Wind Farm Pty Ltd,2.0,7.2
,Elgin Energy,1.0,200
,Elgin Energy,1.0,200
YENDWF1,Northleaf /InfraRed/Macquarie Capital,38.0,144.4
,Yoorndoo Ilga Solar Pty Ltd,1.0,250
,Yorke Peninsula Wind Farm Project Pty Ltd,104.0,624.00 - 748.80
,Tetris Energy,1.0,95
,Tetris Energy,1.0,302
,,,
,,,
,,,
,,,
,,,
